,name,datetime,temp,dew,humidity,windgust,windspeed,winddir,sealevelpressure
0,"Coimbatore, TN, India",2024-09-04,26.7,21.8,76.0,35.3,29.5,223.0,1010.9
1,"Coimbatore, TN, India",2024-09-05,25.5,19.9,73.1,36.7,28.8,237.8,1008.8
2,"Coimbatore, TN, India",2024-09-06,25.7,19.7,71.8,37.8,26.6,236.1,1008.9
3,"Coimbatore, TN, India",2024-09-07,25.4,19.6,72.3,37.1,27.7,237.1,1009.8
4,"Coimbatore, TN, India",2024-09-08,25.6,19.2,70.3,38.9,28.8,237.7,1010.6
5,"Coimbatore, TN, India",2024-09-09,25.2,19.4,72.1,37.8,27.4,237.7,1009.2
6,"Coimbatore, TN, India",2024-09-10,25.7,19.5,70.6,38.2,29.2,237.8,1008.6
7,"Coimbatore, TN, India",2024-09-11,24.8,19.6,74.2,36.4,27.7,236.5,1008.9
8,"Coimbatore, TN, India",2024-09-12,25.6,19.5,71.4,37.1,28.1,236.9,1008.6
9,"Coimbatore, TN, India",2024-09-13,26.0,19.8,70.7,34.2,25.9,236.0,1008.0
10,"Coimbatore, TN, India",2024-09-14,26.3,19.6,69.1,35.6,26.3,236.8,1008.4
